year,month,stateDescription,sectorName,price
2001,1,61,0,4.332700000000002
2001,1,61,1,5.1240000000000006
2001,1,61,2,3.3341999999999974
2001,1,61,3,4.842500000000001
2001,1,61,4,6.120599999999996
2001,1,33,0,10.734600000000007
2001,1,48,3,6.475800000000005
2001,1,48,4,7.3901000000000066
2001,1,49,0,5.888300000000004
2001,1,49,1,6.0668
2001,1,49,2,4.309400000000004
2001,1,49,3,3.468300000000005
2001,1,49,4,6.622299999999996
2001,1,50,0,5.563199999999995
2001,1,50,1,6.211400000000002
2001,1,50,2,4.066900000000007
2001,1,50,3,8.608199999999995
2001,1,50,4,6.165700000000007
2001,1,51,0,6.874599999999991
2001,1,51,1,7.614299999999993
2001,1,51,2,5.097900000000006
2001,1,51,3,7.009900000000011
2001,1,51,4,7.736999999999992
2001,1,53,0,4.820100000000001
2001,1,53,1,5.136799999999998
2001,1,53,2,3.352099999999999
2001,1,53,3,4.375299999999994
2001,1,53,4,6.4165
2001,1,54,0,10.984900000000014
2001,1,54,1,11.326500000000003
2001,1,54,2,8.303000000000008
2001,1,54,3,15.967499999999983
2001,1,54,4,12.47770000000001
2001,1,55,0,5.816100000000002
2001,1,55,1,5.590499999999996
2001,1,55,2,4.204400000000004
2001,1,55,3,4.936900000000003
2001,1,55,4,6.9825
2001,1,56,0,4.910400000000004
2001,1,56,1,5.012799999999997
2001,1,56,2,4.459699999999995
2001,1,56,3,4.4650000000000025
2001,1,56,4,5.158199999999994
2001,1,59,0,4.997900000000006
2001,1,59,1,5.292899999999996
2001,1,59,2,3.571600000000003
2001,1,59,3,9.199399999999999
2001,1,59,4,5.943999999999993
2001,1,60,0,5.925799999999993
2001,1,60,1,6.1251
2001,1,60,2,4.2603000000000035
2001,1,60,3,7.5574999999999966
2001,1,60,4,7.5588
2001,1,0,0,5.526400000000006
2001,1,0,1,6.482300000000008
2001,1,0,2,3.8538999999999985
2001,1,0,3,6.724300000000008
2001,1,20,3,8.812899999999999
2001,1,20,4,8.075600000000007
2001,1,21,0,10.908199999999988
2001,1,21,1,10.433300000000015
2001,1,21,2,9.337299999999994
2001,1,21,3,24.86540000000001
2001,1,21,4,12.575600000000016
2001,1,22,0,5.855799999999999
2001,1,22,1,5.448300000000007
2001,1,22,2,4.814400000000011
2001,1,22,3,8.576799999999999
2001,1,22,4,6.793100000000003
2001,1,23,0,10.85409999999999
2001,1,23,1,10.67789999999999
2001,1,23,2,9.15250000000001
2001,1,23,3,14.252499999999987
2001,1,23,4,11.941099999999992
2001,1,24,0,7.052699999999996
2001,1,24,1,7.465100000000004
2001,1,24,2,5.192099999999998
2001,1,24,3,9.490400000000008
2001,1,24,4,8.088100000000008
2001,1,26,0,5.436900000000005
2001,1,26,1,5.142900000000005
2001,1,26,2,4.366499999999995
2001,1,26,3,6.849199999999997
2001,1,26,4,7.032899999999987
2001,1,27,0,5.897799999999998
2001,1,27,1,6.790000000000005
2001,1,27,2,4.3385999999999925
2001,1,27,3,8.280400000000004
2001,1,33,1,10.44469999999999
2001,1,33,2,8.854899999999992
2001,1,33,3,13.13540000000001
2001,1,33,4,11.776799999999996
2001,1,25,0,9.403000000000006
2001,1,43,0,7.482700000000003
2001,1,43,1,8.033699999999993
2001,1,43,2,5.614800000000007
2001,1,43,3,5.51
2001,1,43,4,8.47839999999999
2001,1,44,0,12.69799999999998
2001,1,44,1,12.730099999999984
2001,1,44,2,10.806800000000015
2001,1,44,3,13.441300000000002
2001,1,44,4,14.23469999999998
2001,1,52,0,6.8075
2001,1,52,1,7.353799999999999
2001,1,52,2,4.770500000000008
2001,1,52,3,6.684100000000006
2001,1,52,4,7.7892000000000055
2001,1,27,4,6.521900000000003
2001,1,28,0,5.298600000000001
2001,1,28,1,5.1583000000000006
2001,1,28,2,4.060600000000001
2001,1,28,3,5.693200000000006
2001,1,28,4,5.951500000000006
2001,1,29,0,5.686000000000007
2001,1,29,1,5.804799999999995
2001,1,29,2,5.453399999999992
2001,1,29,3,7.053799999999996
2001,1,29,4,6.4564000000000075
2001,1,31,0,4.817499999999998
2001,1,31,1,4.897500000000003
2001,1,31,2,3.6891999999999983
2001,1,31,3,6.1195
2001,1,31,4,5.417299999999995
2001,1,32,0,6.6109000000000036
2001,1,25,1,10.165899999999983
2001,1,25,2,6.089000000000003
2001,1,25,3,8.602999999999987
2001,1,25,4,10.737599999999997
2001,1,32,1,7.452300000000004
2001,1,32,2,5.0986999999999965
2001,1,32,3,5.325300000000003
2001,1,32,4,7.792299999999995
2001,1,34,0,11.577399999999987
2001,1,34,1,11.011599999999993
2001,1,34,2,9.030200000000006
2001,1,34,3,13.87050000000001
2001,1,34,4,13.199399999999986
2001,1,35,0,8.98129999999999
2001,1,35,1,8.787100000000002
2001,1,35,2,8.239599999999996
2001,1,35,3,11.546399999999988
2001,1,35,4,9.560600000000004
2001,1,36,0,6.937200000000002
2001,1,36,1,7.120900000000007
2001,1,36,2,5.855699999999997
2001,1,36,3,5.953200000000001
2001,1,36,4,8.000600000000006
2001,1,37,0,11.361399999999986
2001,1,37,1,12.319300000000009
2001,1,37,2,5.544600000000005
2001,1,37,3,8.439900000000017
2001,1,37,4,13.808200000000014
2001,1,38,0,6.401499999999995
2001,1,38,1,6.2036
2001,1,38,2,4.431199999999993
2001,1,38,3,6.214100000000002
2001,1,38,4,7.6205999999999845
2001,1,39,0,5.056899999999991
2001,1,39,1,5.385999999999999
2001,1,39,2,3.9130000000000056
2001,1,39,3,3.483900000000001
2001,1,39,4,5.631400000000003
2001,1,40,0,6.300499999999991
